Name,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
Gruzovichkof,1,0,1,1,1,1,1,1,1,1
Gazelkin,1,0,1,1,1,0,1,1,1,0
Gruz78,0,1,0,0,1,0,1,0,1,0
Gazelka,0,1,1,1,1,0,1,1,0,0
Gruzov-perevoz_spb,0,1,0,0,1,0,1,1,1,1
CARGOExpress,0,1,0,0,1,1,1,0,1,1
CarLogistics _service,0,1,0,0,1,1,1,0,1,1
GruzGazel,0,0,1,1,1,0,1,1,1,0
Avangard,0,0,0,0,1,1,1,1,1,0
